Catalog ID,Description,Sex
HG00142,"1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND, UK",male
HG00143,"1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND, UK",male
HG00145,"1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND, UK",male
HG00146,"1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND, UK",female
HG00148,"1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND, UK",male
HG00149,"1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND, UK",male
HG00150,"1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND, UK",female
HG00151,"1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND, UK",male
HG00154,"1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND, UK",female
HG00155,"1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND, UK",male
HG00157,"1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND, UK",male
HG00158,"1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND, UK",female
HG00159,"1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND, UK",male
HG00160,"1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND, UK",male
HG00171,1000 GENOMES PROJECT - FINNISH IN FINLAND,female
HG00173,1000 GENOMES PROJECT - FINNISH IN FINLAND,female
HG00174,1000 GENOMES PROJECT - FINNISH IN FINLAND,female
HG00176,1000 GENOMES PROJECT - FINNISH IN FINLAND,female
HG00177,1000 GENOMES PROJECT - FINNISH IN FINLAND,female
HG00178,1000 GENOMES PROJECT - FINNISH IN FINLAND,female
HG00179,1000 GENOMES PROJECT - FINNISH IN FINLAND,female
HG00180,1000 GENOMES PROJECT - FINNISH IN FINLAND,female
HG00181,1000 GENOMES PROJECT - FINNISH IN FINLAND,male
HG00182,1000 GENOMES PROJECT - FINNISH IN FINLAND,male
HG00183,1000 GENOMES PROJECT - FINNISH IN FINLAND,male
HG00185,1000 GENOMES PROJECT - FINNISH IN FINLAND,male
HG00186,1000 GENOMES PROJECT - FINNISH IN FINLAND,male
HG00187,1000 GENOMES PROJECT - FINNISH IN FINLAND,male
HG00188,1000 GENOMES PROJECT - FINNISH IN FINLAND,male
HG00189,1000 GENOMES PROJECT - FINNISH IN FINLAND,male
HG00190,1000 GENOMES PROJECT - FINNISH IN FINLAND,male
HG00231,"1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND, UK",female
HG00232,"1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND, UK",female
HG00233,"1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND, UK",female
HG00234,"1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND, UK",male
HG00235,"1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND, UK",female
HG00236,"1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND, UK",female
HG00237,"1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND, UK",female
HG00238,"1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND, UK",female
HG00239,"1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND, UK",female
HG00240,"1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND, UK",female
HG00242,"1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND, UK",male
HG00243,"1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND, UK",male
HG00244,"1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND, UK",male
HG00245,"1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND, UK",female
HG00246,"1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND, UK",male
HG00250,"1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND, UK",female
HG00251,"1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND, UK",male
HG00252,"1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND, UK",male
HG00253,"1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND, UK",female
HG00254,"1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND, UK",female
HG00255,"1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND, UK",female
HG00256,"1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND, UK",male
HG00257,"1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND, UK",female
HG00258,"1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND, UK",female
HG00259,"1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND, UK",female
HG00260,"1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND, UK",male
HG00261,"1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND, UK",female
HG00262,"1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND, UK",female
HG00263,"1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND, UK",female
HG00264,"1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND, UK",male
HG00265,"1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND, UK",male
HG00266,1000 GENOMES PROJECT - FINNISH IN FINLAND,female
HG00267,1000 GENOMES PROJECT - FINNISH IN FINLAND,male
HG00268,1000 GENOMES PROJECT - FINNISH IN FINLAND,female
HG00269,1000 GENOMES PROJECT - FINNISH IN FINLAND,female
HG00271,1000 GENOMES PROJECT - FINNISH IN FINLAND,male
HG00272,1000 GENOMES PROJECT - FINNISH IN FINLAND,female
HG00273,1000 GENOMES PROJECT - FINNISH IN FINLAND,male
HG00274,1000 GENOMES PROJECT - FINNISH IN FINLAND,female
HG00275,1000 GENOMES PROJECT - FINNISH IN FINLAND,female
HG00276,1000 GENOMES PROJECT - FINNISH IN FINLAND,female
HG00277,1000 GENOMES PROJECT - FINNISH IN FINLAND,male
HG00278,1000 GENOMES PROJECT - FINNISH IN FINLAND,male
HG00280,1000 GENOMES PROJECT - FINNISH IN FINLAND,male
HG00281,1000 GENOMES PROJECT - FINNISH IN FINLAND,female
HG00282,1000 GENOMES PROJECT - FINNISH IN FINLAND,female
HG00284,1000 GENOMES PROJECT - FINNISH IN FINLAND,male
HG00285,1000 GENOMES PROJECT - FINNISH IN FINLAND,female
HG00288,1000 GENOMES PROJECT - FINNISH IN FINLAND,female
HG00290,1000 GENOMES PROJECT - FINNISH IN FINLAND,male
HG00304,1000 GENOMES PROJECT - FINNISH IN FINLAND,female
HG00306,1000 GENOMES PROJECT - FINNISH IN FINLAND,female
HG00308,1000 GENOMES PROJECT - FINNISH IN FINLAND,male
HG00309,1000 GENOMES PROJECT - FINNISH IN FINLAND,female
HG00310,1000 GENOMES PROJECT - FINNISH IN FINLAND,male
HG00311,1000 GENOMES PROJECT - FINNISH IN FINLAND,male
HG00313,1000 GENOMES PROJECT - FINNISH IN FINLAND,female
HG00315,1000 GENOMES PROJECT - FINNISH IN FINLAND,female
HG00318,1000 GENOMES PROJECT - FINNISH IN FINLAND,female
HG00319,1000 GENOMES PROJECT - FINNISH IN FINLAND,female
HG00320,1000 GENOMES PROJECT - FINNISH IN FINLAND,female
HG00321,1000 GENOMES PROJECT - FINNISH IN FINLAND,male
HG00323,1000 GENOMES PROJECT - FINNISH IN FINLAND,female
HG00324,1000 GENOMES PROJECT - FINNISH IN FINLAND,female
HG00325,1000 GENOMES PROJECT - FINNISH IN FINLAND,male
HG00326,1000 GENOMES PROJECT - FINNISH IN FINLAND,female
HG00327,1000 GENOMES PROJECT - FINNISH IN FINLAND,female
HG00328,1000 GENOMES PROJECT - FINNISH IN FINLAND,female
HG00329,1000 GENOMES PROJECT - FINNISH IN FINLAND,male
HG00330,1000 GENOMES PROJECT - FINNISH IN FINLAND,female
HG00331,1000 GENOMES PROJECT - FINNISH IN FINLAND,female
HG00332,1000 GENOMES PROJECT - FINNISH IN FINLAND,female
HG00334,1000 GENOMES PROJECT - FINNISH IN FINLAND,female
HG00335,1000 GENOMES PROJECT - FINNISH IN FINLAND,male
HG00336,1000 GENOMES PROJECT - FINNISH IN FINLAND,male
HG00337,1000 GENOMES PROJECT - FINNISH IN FINLAND,female
HG00338,1000 GENOMES PROJECT - FINNISH IN FINLAND,male
HG00339,1000 GENOMES PROJECT - FINNISH IN FINLAND,female
HG00341,1000 GENOMES PROJECT - FINNISH IN FINLAND,male
HG00342,1000 GENOMES PROJECT - FINNISH IN FINLAND,male
HG00343,1000 GENOMES PROJECT - FINNISH IN FINLAND,female
HG00344,1000 GENOMES PROJECT - FINNISH IN FINLAND,female
HG00345,1000 GENOMES PROJECT - FINNISH IN FINLAND,male
HG00346,1000 GENOMES PROJECT - FINNISH IN FINLAND,female
HG00349,1000 GENOMES PROJECT - FINNISH IN FINLAND,female
HG00350,1000 GENOMES PROJECT - FINNISH IN FINLAND,female
HG00351,1000 GENOMES PROJECT - FINNISH IN FINLAND,male
HG00353,1000 GENOMES PROJECT - FINNISH IN FINLAND,female
HG00355,1000 GENOMES PROJECT - FINNISH IN FINLAND,female
HG00356,1000 GENOMES PROJECT - FINNISH IN FINLAND,female
HG00357,1000 GENOMES PROJECT - FINNISH IN FINLAND,female
HG00358,1000 GENOMES PROJECT - FINNISH IN FINLAND,male
HG00360,1000 GENOMES PROJECT - FINNISH IN FINLAND,male
HG00361,1000 GENOMES PROJECT - FINNISH IN FINLAND,female
HG00362,1000 GENOMES PROJECT - FINNISH IN FINLAND,female
HG00364,1000 GENOMES PROJECT - FINNISH IN FINLAND,female
HG00365,1000 GENOMES PROJECT - FINNISH IN FINLAND,female
HG00366,1000 GENOMES PROJECT - FINNISH IN FINLAND,male
HG00367,1000 GENOMES PROJECT - FINNISH IN FINLAND,female
HG00368,1000 GENOMES PROJECT - FINNISH IN FINLAND,female
HG00369,1000 GENOMES PROJECT - FINNISH IN FINLAND,male
HG00371,1000 GENOMES PROJECT - FINNISH IN FINLAND,male
HG00372,1000 GENOMES PROJECT - FINNISH IN FINLAND,male
HG00373,1000 GENOMES PROJECT - FINNISH IN FINLAND,female
HG00375,1000 GENOMES PROJECT - FINNISH IN FINLAND,male
HG00376,1000 GENOMES PROJECT - FINNISH IN FINLAND,female
HG00378,1000 GENOMES PROJECT - FINNISH IN FINLAND,female
HG00379,1000 GENOMES PROJECT - FINNISH IN FINLAND,female
HG00380,1000 GENOMES PROJECT - FINNISH IN FINLAND,female
HG00381,1000 GENOMES PROJECT - FINNISH IN FINLAND,female
HG00382,1000 GENOMES PROJECT - FINNISH IN FINLAND,male
HG00383,1000 GENOMES PROJECT - FINNISH IN FINLAND,female
HG00384,1000 GENOMES PROJECT - FINNISH IN FINLAND,female
HG00403,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",male
HG00404,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",female
HG00405,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",female
HG00406,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",male
HG00407,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",female
HG00408,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",female
HG00409,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",male
HG00410,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",female
HG00418,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",male
HG00419,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",female
HG00420,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",male
HG00421,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",male
HG00422,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",female
HG00423,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",female
HG00427,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",male
HG00428,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",female
HG00429,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",male
HG00436,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",male
HG00437,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",female
HG00438,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",female
HG00442,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",male
HG00443,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",female
HG00444,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",male
HG00445,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",male
HG00446,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",female
HG00447,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",female
HG00448,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",male
HG00449,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",female
HG00450,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",female
HG00451,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",male
HG00452,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",female
HG00453,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",female
HG00457,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",male
HG00458,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",female
HG00459,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",male
HG00463,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",male
HG00464,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",female
HG00465,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",male
HG00472,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",male
HG00473,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",female
HG00474,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",male
HG00475,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",male
HG00476,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",female
HG00477,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",male
HG00478,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",male
HG00479,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",female
HG00480,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",male
HG00500,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",male
HG00501,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",female
HG00502,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",male
HG00512,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",male
HG00513,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",female
HG00514,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",female
HG00524,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",male
HG00525,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",female
HG00526,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",male
HG00530,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",male
HG00531,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",female
HG00532,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",male
HG00533,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",male
HG00534,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",female
HG00535,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",male
HG00536,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",male
HG00537,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",female
HG00538,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",male
HG00542,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",male
HG00543,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",female
HG00544,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",female
HG00551,1000 GENOMES PROJECT - PUERTO RICAN IN PUERTO RICO,female
HG00552,1000 GENOMES PROJECT - PUERTO RICAN IN PUERTO RICO,male
HG00553,1000 GENOMES PROJECT - PUERTO RICAN IN PUERTO RICO,male
HG00554,1000 GENOMES PROJECT - PUERTO RICAN IN PUERTO RICO,female
HG00555,1000 GENOMES PROJECT - PUERTO RICAN IN PUERTO RICO,female
HG00556,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",male
HG00557,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",female
HG00558,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",female
HG00559,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",male
HG00560,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",female
HG00561,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",female
HG00565,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",male
HG00566,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",female
HG00567,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",male
HG00577,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",male
HG00578,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",female
HG00579,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",female
HG00580,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",male
HG00581,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",female
HG00582,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",female
HG00583,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",male
HG00584,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",female
HG00585,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",female
HG00589,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",male
HG00590,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",female
HG00591,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",male
HG00592,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",male
HG00593,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",female
HG00594,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",male
HG00595,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",male
HG00596,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",female
HG00597,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",female
HG00598,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",male
HG00599,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",female
HG00607,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",male
HG00608,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",female
HG00609,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",male
HG00610,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",male
HG00611,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",female
HG00612,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",female
HG00613,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",male
HG00614,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",female
HG00615,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",female
HG00619,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",male
HG00620,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",female
HG00621,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",male
HG00622,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",male
HG00623,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",female
HG00625,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",male
HG00626,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",female
HG00627,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",male
HG00628,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",male
HG00629,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",female
HG00630,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",male
HG00631,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",male
HG00632,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",female
HG00634,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",male
HG00635,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",female
HG00636,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",male
HG00637,1000 GENOMES PROJECT - PUERTO RICAN IN PUERTO RICO,male
HG00638,1000 GENOMES PROJECT - PUERTO RICAN IN PUERTO RICO,female
HG00639,1000 GENOMES PROJECT - PUERTO RICAN IN PUERTO RICO,female
HG00640,1000 GENOMES PROJECT - PUERTO RICAN IN PUERTO RICO,male
HG00641,1000 GENOMES PROJECT - PUERTO RICAN IN PUERTO RICO,female
HG00642,1000 GENOMES PROJECT - PUERTO RICAN IN PUERTO RICO,male
HG00650,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",male
HG00651,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",female
HG00652,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",female
HG00653,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",male
HG00654,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",female
HG00655,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",female
HG00656,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",male
HG00657,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",female
HG00658,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",male
HG00662,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",male
HG00663,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",female
HG00664,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",male
HG00671,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",male
HG00672,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",female
HG00673,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",male
HG00674,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",male
HG00675,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",female
HG00683,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",male
HG00684,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",female
HG00685,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",male
HG00689,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",male
HG00690,"1000 GENOMES PROJECT - HAN CHINESE SOUTH, CHINA",female
